geo country;time;powertrain;relative sales
Luxembourg;2016;BEV;0,003200001
Luxembourg;2017;BEV;0,006999999
Luxembourg;2018;BEV;0,0093
Luxembourg;2019;BEV;0,018699999
Luxembourg;2020;BEV;0,055899999
Luxembourg;2021;BEV;0,1056
Luxembourg;2022;BEV;0,158199999
Luxembourg;2023;BEV;0,231500001
Malta;2000;BEV;0
Malta;2001;BEV;0
Malta;2002;BEV;0
Malta;2003;BEV;0
Malta;2004;BEV;0
Malta;2005;BEV;0
Malta;2006;BEV;0
Malta;2007;BEV;0
Malta;2008;BEV;0
Malta;2009;BEV;0
Malta;2010;BEV;0
Malta;2011;BEV;0
Malta;2012;BEV;0
Malta;2013;BEV;0
Malta;2014;BEV;0
Malta;2015;BEV;0
Malta;2016;BEV;0
Malta;2017;BEV;0,006200001
Malta;2018;BEV;0,021999999
Malta;2019;BEV;0,0366
Malta;2020;BEV;0,0123
Malta;2021;BEV;0,015
Malta;2022;BEV;0,019400001
Malta;2023;BEV;0,149499999
Netherlands;2000;BEV;0
Netherlands;2001;BEV;0
Netherlands;2002;BEV;0
Netherlands;2003;BEV;0
Netherlands;2004;BEV;0
Netherlands;2005;BEV;0
Netherlands;2006;BEV;0
Netherlands;2007;BEV;0
Netherlands;2008;BEV;0
Netherlands;2009;BEV;9,99E-05
Netherlands;2010;BEV;0,0002001
Netherlands;2011;BEV;0,0015
Netherlands;2012;BEV;0,001599999
Netherlands;2013;BEV;0,0075
Netherlands;2014;BEV;0,0084
Netherlands;2015;BEV;0,008499999
Netherlands;2016;BEV;0,0105
Netherlands;2017;BEV;0,0192
Netherlands;2018;BEV;0,054200001
Netherlands;2019;BEV;0,1386
Netherlands;2020;BEV;0,2043
Netherlands;2021;BEV;0,1989
Netherlands;2022;BEV;0,233199999
Netherlands;2023;BEV;0,305199999
Norway;2000;BEV;0
Norway;2001;BEV;0
Norway;2002;BEV;0
Norway;2003;BEV;0
Norway;2004;BEV;0
Norway;2005;BEV;0
Norway;2006;BEV;0
Norway;2007;BEV;0
Norway;2008;BEV;0
Norway;2009;BEV;0,001100001
