geo country;stock_year;powertrain;share
Ireland;2022;G-PHEV;0,0107
Ireland;2023;G-PHEV;0,015
Italy;2008;BEV;0
Italy;2009;BEV;0
Italy;2010;BEV;0
Italy;2011;BEV;0
Italy;2012;BEV;0
Italy;2013;BEV;0
Italy;2014;BEV;0,0001
Italy;2015;BEV;0,0001
Italy;2016;BEV;0,0001
Italy;2017;BEV;0,0002
Italy;2018;BEV;0,0003
Italy;2019;BEV;0,0006
Italy;2020;BEV;0,0014
Italy;2021;BEV;0,0031
Italy;2022;BEV;0,0043
Italy;2023;BEV;0,0058
Italy;2008;G-PHEV;0
Italy;2009;G-PHEV;0
Italy;2010;G-PHEV;0
Italy;2011;G-PHEV;0
Italy;2012;G-PHEV;0
Italy;2013;G-PHEV;0
Italy;2014;G-PHEV;0
Italy;2015;G-PHEV;0
Italy;2016;G-PHEV;0,0001
Italy;2017;G-PHEV;0,0002
Italy;2018;G-PHEV;0,0003
Italy;2019;G-PHEV;0,0004
Italy;2020;G-PHEV;0,0011
Italy;2021;G-PHEV;0,0029
Italy;2022;G-PHEV;0,0046
Italy;2023;G-PHEV;0,0063
Latvia;2008;BEV;0
Latvia;2009;BEV;0
Latvia;2010;BEV;0
Latvia;2011;BEV;0
Latvia;2012;BEV;0
Latvia;2013;BEV;0
Latvia;2014;BEV;0,0003
Latvia;2015;BEV;0,0003
Latvia;2016;BEV;0,0004
Latvia;2017;BEV;0,0004
Latvia;2018;BEV;0,0006
Latvia;2019;BEV;0,0009
Latvia;2020;BEV;0,0016
Latvia;2021;BEV;0,0028
Latvia;2022;BEV;0,0049
Latvia;2023;BEV;0,0064
Latvia;2008;G-PHEV;0
Latvia;2009;G-PHEV;0
Latvia;2010;G-PHEV;0
Latvia;2011;G-PHEV;0
Latvia;2012;G-PHEV;0
Latvia;2013;G-PHEV;0
Latvia;2014;G-PHEV;0
Latvia;2015;G-PHEV;0
Latvia;2016;G-PHEV;0
Latvia;2017;G-PHEV;0,0001
Latvia;2018;G-PHEV;0,0001
Latvia;2019;G-PHEV;0,0002
Latvia;2020;G-PHEV;0,0003
Latvia;2021;G-PHEV;0,0004
Latvia;2022;G-PHEV;0,0007
Latvia;2023;G-PHEV;0,0011
Liechtenstein;2008;BEV;0
Liechtenstein;2009;BEV;0
Liechtenstein;2010;BEV;0
Liechtenstein;2011;BEV;0
Liechtenstein;2012;BEV;0
Liechtenstein;2013;BEV;0
Liechtenstein;2014;BEV;0
Liechtenstein;2015;BEV;0
Liechtenstein;2016;BEV;0
Liechtenstein;2017;BEV;0
Liechtenstein;2018;BEV;0,0047
Liechtenstein;2019;BEV;0,0055
Liechtenstein;2020;BEV;0,0073
Liechtenstein;2021;BEV;0,0091
Liechtenstein;2022;BEV;0,0121
Liechtenstein;2023;BEV;0,0178
Liechtenstein;2008;G-PHEV;0
Liechtenstein;2009;G-PHEV;0
Liechtenstein;2010;G-PHEV;0
Liechtenstein;2011;G-PHEV;0
Liechtenstein;2012;G-PHEV;0
Liechtenstein;2013;G-PHEV;0
Liechtenstein;2014;G-PHEV;0
Liechtenstein;2015;G-PHEV;0
Liechtenstein;2016;G-PHEV;0
Liechtenstein;2017;G-PHEV;0
Liechtenstein;2018;G-PHEV;0
Liechtenstein;2019;G-PHEV;0
Liechtenstein;2020;G-PHEV;0,0003
Liechtenstein;2021;G-PHEV;0,0014
Liechtenstein;2022;G-PHEV;0,0021
Liechtenstein;2023;G-PHEV;0,0026
Lithuania;2008;BEV;0
Lithuania;2009;BEV;0
Lithuania;2010;BEV;0
Lithuania;2011;BEV;0
Lithuania;2012;BEV;0
Lithuania;2013;BEV;0
Lithuania;2014;BEV;0,0001
Lithuania;2015;BEV;0,0001
Lithuania;2016;BEV;0,0003
Lithuania;2017;BEV;0,0005
Lithuania;2018;BEV;0,0007
Lithuania;2019;BEV;0,0009
Lithuania;2020;BEV;0,0016
Lithuania;2021;BEV;0,003
Lithuania;2022;BEV;0,0044
Lithuania;2023;BEV;0,0067
Lithuania;2008;G-PHEV;0
Lithuania;2009;G-PHEV;0
Lithuania;2010;G-PHEV;0
Lithuania;2011;G-PHEV;0
Lithuania;2012;G-PHEV;0
Lithuania;2013;G-PHEV;0
Lithuania;2014;G-PHEV;0
Lithuania;2015;G-PHEV;0
Lithuania;2016;G-PHEV;0
Lithuania;2017;G-PHEV;0,0002
Lithuania;2018;G-PHEV;0,0005
Lithuania;2019;G-PHEV;0,0008
Lithuania;2020;G-PHEV;0,0012
Lithuania;2021;G-PHEV;0,002
Lithuania;2022;G-PHEV;0,003
Lithuania;2023;G-PHEV;0,0044
Luxembourg;2008;BEV;0
Luxembourg;2009;BEV;0
Luxembourg;2010;BEV;0
Luxembourg;2011;BEV;0,0001
Luxembourg;2012;BEV;0,0003
Luxembourg;2013;BEV;0,0007
Luxembourg;2014;BEV;0,0015
Luxembourg;2015;BEV;0,0017
Luxembourg;2016;BEV;0,0018
Luxembourg;2017;BEV;0,0024
Luxembourg;2018;BEV;0,0032
Luxembourg;2019;BEV;0,006
Luxembourg;2020;BEV;0,0093
Luxembourg;2021;BEV;0,0197
