geo country;vehicle age;number of registered vehicles
Slovenia;60;0
Slovenia;61;0
Slovenia;62;0
Slovenia;63;0
Slovenia;64;0
Slovenia;65;0
Slovenia;66;0
Slovenia;67;0
Slovenia;68;0
Slovenia;69;0
Slovenia;70;0
Slovenia;71;0
Slovenia;72;0
Slovenia;73;0
Slovenia;74;0
Slovenia;75;0
Slovenia;76;0
Slovenia;77;0
Slovenia;78;0
Slovenia;79;0
Slovenia;80;0
Slovenia;81;0
Slovenia;82;0
Slovenia;83;0
Slovenia;84;0
Slovenia;85;0
Slovenia;86;0
Slovenia;87;0
Slovenia;88;0
Slovenia;89;0
Slovenia;90;0
Slovenia;91;0
Slovenia;92;0
Slovenia;93;0
Slovenia;94;0
Slovenia;95;0
Slovenia;96;0
Slovenia;97;0
Slovenia;98;0
Slovenia;99;0
Slovenia;100;0
Slovenia;101;0
Slovenia;102;0
Slovenia;103;0
Slovenia;104;0
Slovenia;105;0
Slovenia;106;0
Slovenia;107;0
Slovenia;108;0
Slovenia;109;0
Slovenia;110;0
Slovenia;111;0
Slovenia;112;0
Slovenia;113;0
Slovenia;114;0
Slovenia;115;0
Slovenia;116;0
Slovenia;117;0
Slovenia;118;0
Slovenia;119;0
Slovenia;120;0
Slovenia;121;0
Sweden;1;219652
Sweden;2;261102
Sweden;3;306201
Sweden;4;284802
Sweden;5;310025
Sweden;6;326997
Sweden;7;297458
Sweden;8;265988
Sweden;9;232619
Sweden;10;227715
Sweden;11;255256
Sweden;12;235585
Sweden;13;150746
Sweden;14;176649
Sweden;15;206247
Sweden;16;176983
Sweden;17;159087
Sweden;18;136061
Sweden;19;115721
Sweden;20;115721
Sweden;21;115721
Sweden;22;115721
Sweden;23;115721
Sweden;24;115721
Sweden;25;63249
Sweden;26;0
Sweden;27;0
Sweden;28;0
Sweden;29;0
Sweden;30;0
Sweden;31;0
Sweden;32;0
Sweden;33;0
Sweden;34;0
Sweden;35;0
Sweden;36;0
Sweden;37;0
Sweden;38;0
Sweden;39;0
Sweden;40;0
Sweden;41;0
Sweden;42;0
Sweden;43;0
Sweden;44;0
Sweden;45;0
Sweden;46;0
Sweden;47;0
Sweden;48;0
Sweden;49;0
Sweden;50;0
Sweden;51;0
Sweden;52;0
Sweden;53;0
Sweden;54;0
Sweden;55;0
Sweden;56;0
Sweden;57;0
Sweden;58;0
Sweden;59;0
Sweden;60;0
Sweden;61;0
Sweden;62;0
Sweden;63;0
Sweden;64;0
Sweden;65;0
Sweden;66;0
Sweden;67;0
Sweden;68;0
Sweden;69;0
Sweden;70;0
Sweden;71;0
Sweden;72;0
Sweden;73;0
Sweden;74;0
Sweden;75;0
Sweden;76;0
Sweden;77;0
Sweden;78;0
Sweden;79;0
Sweden;80;0
Sweden;81;0
Sweden;82;0
Sweden;83;0
Sweden;84;0
Sweden;85;0
Sweden;86;0
Sweden;87;0
Sweden;88;0
Sweden;89;0
Sweden;90;0
Sweden;91;0
Sweden;92;0
Sweden;93;0
Sweden;94;0
Sweden;95;0
Sweden;96;0
Sweden;97;0
Sweden;98;0
Sweden;99;0
Sweden;100;0
Sweden;101;0
Sweden;102;0
Sweden;103;0
Sweden;104;0
Sweden;105;0
Sweden;106;0
Sweden;107;0
Sweden;108;0
Sweden;109;0
Sweden;110;0
Sweden;111;0
Sweden;112;0
Sweden;113;0
Sweden;114;0
Sweden;115;0
Sweden;116;0
Sweden;117;0
Sweden;118;0
Sweden;119;0
Sweden;120;0
Sweden;121;0
